Başlık,Şikayet
Trendyol Edmas Group Adlı Satıcıdan İade Talebi,3 Temmuz 2023 tarihinde Trendyol'dan Edmas Group satıcısından buharlı temizlik makinası sipariş oluşturdum ürünü teslim aldıktan sonra denedim fakat ürünü su akıtması sebebiyle kullanamadım.
Yanlış Gönderilen Kitaplar Ve İletişimsiz Satıcı: Ciltli Siparişler Ciltsiz Geldi,"Ciltli Diye Aldığım Kitaplar Ciltsiz Geldi, Dönüş Yok!
Trendyol üzerinden sipariş ettiğim iki farklı kitap ciltli olarak listelenmesine rağmen ciltsiz olarak gönderildi."
Trendyol GO Üzerinden Verilen Siparişte Gecikme Ve Mağduriyet,"Trendyol GO üzerinden salon burgerden sipariş verdim. Ancak bir buçuk saat içinde siparişim gelmedi. Restoranı aradığımda Trendyol GO ile iletişime geçmem söylendi. Trendyol GO ile iletişime geçtiğimde restorana ulaşamadıklarını ve siparişimi iptal edebileceğim söylendi. 1.5 saat beklememin ve mağdur olmamın karşılığı bu olmamalı. Trendyol GO bütün restoranları restoran listesine koymaya çalışacağına, yüzde 20 fark ile daha yüksek ücretle sipariş vermeme rağmen bu şekilde mağdur edildiğim için şikayetçiyim"
"Arızalı Ürün, İade Reddi Ve Çözüm Eksikliği: Trendyol'da Mağduriyet","26.05.2025 tarihinde Trendyol üzerinden satın aldığım dron, teslim edildiği gün itibarıyla arızalıydı (bir pervanesi çalışmıyordu). Ürünü hiç kullanamadan iade ettim. Yaklaşık 1 ay sonra ""üretim hatası bulunamadı"" gerekçesiyle iadem reddedildi ve ürün tarafıma geri gönderildi."
Satış Sonrası Ödeme Gecikmesi Ve Mağduriyet,"Merhaba, 5-6 gün önce sorunsuz bir şekilde satış yaptım. Banka hesabıma aktarmayı talep ettim fakat param neredeyse 4 gündür banka hesabıma aktarılmadı. Normalde 1 günde yatması gerekiyordu. Neden böyle oldu, anlamadım. Lütfen yardımcı olur musunuz? Çok sevinirim."
Evde Olmamıza Rağmen Kargom Teslim Edilmedi,"Merhaba, 9 Temmuz'da Trendyol isimli uygulamadan Armalife satıcısından t-shirt sipariş ettim. Bu sipariş, 12 Temmuz'da Antalya/Alanya'daki adresime ulaştı ve aynı gün dağıtıma çıktı. Ancak çalıştığım için telefona bakmam zor oluyor. Annem evde olmasına rağmen, kargo görevlisi buraya kadar gelip kargoyu bırakmadan geri gitmiş. Komşum almak istemiş fakat kargo görevlisi teslim etmemiş. Çalıştığım için kargo firmasına gitmeye vaktim yok. Lütfen ilgilenin."
StarCity AVM Tavuk Dünyası'ndan Sipariş Gecikmesi Mağduriyeti,"İstanbul Bahçelievler Yenibosna'da bulunan StarCity AVM Tavuk Dünyası şubesinden sadece 3 adet sipariş vermemize rağmen, Trendyol üzerinden yaklaşık 1 saatten fazladır ne siparişimize ulaşabiliyor ne de yemeğimizi yiyebiliyoruz. İş yerinde 20 kişi hamburger siparişi vermesine rağmen, 20 hamburgerin gelmesinden sonra bile bizim siparişimiz hala gelmedi. Trendyol üzerinden StarCity'de bulunan Tavuk Dünyası'ndan oluşturulan sipariş tam anlamıyla pişmanlık oldu. Siparişi müdürüm oluşturduğu için şu an resim kanıtı paylaşamıyorum. Şu anda saat 19.15 ve biz siparişi 18.05'te oluşturduk."
Trendyol Hesabımı Geri Almayı Talep Ediyorum,Dün gece Trendyol’daki müşteri hesabımı yanlışlıkla sildim. Hesabıma tekrar erişmek ve aynı bilgilerle yeniden aktif hale getirmek istiyorum. Bu konuda müşteri hizmetlerini aradım ancak net bir çözüm sunulmadı ve yardımcı olunmadı.
Arızalı Kulaklıklar Ve Trendyol'dan Haftalardır Geri Dönüş Alamıyorum,"Trendyol üzerinden satın aldığım JBL Wave Beam 2 kablosuz kulaklık tam üç kez arızalı şekilde elime ulaştı. Her seferinde ürünle ilgili sorun yaşadım ve sonunda iade talebinde bulundum. Teknik servis bana bir belge gönderdi, bu belgeyle birlikte tekrar Trendyol müşteri hizmetlerine ulaştım."
Trendyol Satıcıya Yazılan Yorum Yayınlanmadı,Trendyol'dan bir şey aldım kargoda problem oldu satıcı firmaya yazdım Trendyol tarafından yazım sakıncalı bulundu yayınlanmadı.
